,t_manu,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,t_conf_atr
259,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
260,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
261,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
262,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
263,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
264,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
265,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
266,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
267,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
268,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
269,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
270,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
271,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
272,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
273,Siemens Gamesa Renewable Energy,G87-2.0,2000.0,78.0,87.0,5944.68,121.5,2
274,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
275,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
276,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
277,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
278,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
279,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
280,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
281,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
282,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
283,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
284,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
285,Siemens Gamesa Renewable Energy,G87-2.0,2000.0,78.0,87.0,5944.68,121.5,2
286,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
287,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
288,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
289,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
290,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
291,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
292,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
293,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
294,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,2
295,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
296,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
297,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
298,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
299,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
300,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,2
301,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
302,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
303,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
304,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
305,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
306,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
307,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
308,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
309,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
310,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
311,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
312,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
313,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
314,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
315,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
316,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
317,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
318,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
319,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
320,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
321,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
322,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
323,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
324,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
325,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
326,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
327,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
328,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,2
329,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
330,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
